user_id, qtd_mencoes, qtd_respostas, qtd_retweets, qtd_robos, tempo_longo_prazo, media_curto_prazo, desvio_curto_prazo
2411003909, 0, 0, 21, 1, 3517174.0, 175858.7, 281190.0467082894
854761329202167823, 0, 0, 41, 1, 5431546.0, 135788.65, 181099.32036006512
702974884561944580, 0, 0, 4, 1, 368.0, 122.66666666666667, 62.940889376903115
1009946513525616640, 0, 10, 0, 1, 4768250.0, 529805.5555555555, 494683.9172407886
3031629863, 0, 0, 4, 1, 894839.0, 298279.6666666667, 54215.687227550254
716465216880508928, 0, 0, 5, 1, 1712871.0, 428217.75, 504290.4119410635
135331922, 0, 0, 26, 1, 5893309.0, 235732.36, 311880.6603796882
2842755155, 2, 1, 0, 1, 736.0, 368.0, 83.0
3243049044, 1, 2, 0, 1, 931852.0, 465926.0, 465894.0
1634360094, 0, 0, 8, 1, 1720896.0, 245842.2857142857, 336022.70401341905
769725709480824832, 0, 0, 3, 1, 1815072.0, 907536.0, 479628.0
947483767937159169, 0, 7, 0, 1, 3996718.0, 666119.6666666666, 585439.2164323201
2425137856, 0, 0, 5, 1, 18878.0, 4719.5, 8170.372375234803
443744386, 0, 0, 6, 1, 3679384.0, 735876.8, 542604.6422357258
608217793, 0, 0, 11, 1, 3968471.0, 396847.1, 272062.2548335031
797559696643260416, 0, 9, 0, 1, 5530088.0, 691261.0, 674500.3614102071
427360412, 0, 0, 5, 1, 3821459.0, 955364.75, 328296.19849183067
14352562, 0, 3, 1, 1, 5366743.0, 1788914.3333333333, 2528103.9771741107
166133941, 0, 0, 5, 1, 2714233.0, 678558.25, 761013.5492310156
2531131578, 0, 0, 5, 1, 4761703.0, 1190425.75, 205293.96433818384
975742499401732096, 0, 0, 4, 1, 857488.0, 285829.3333333333, 203474.12551367693
2930376896, 1, 0, 3, 1, 1136976.0, 378992.0, 175160.23553877746
749692766842650624, 0, 0, 8, 1, 4909971.0, 701424.4285714285, 1246032.7732441593
735559730651910144, 0, 5, 0, 1, 1974762.0, 493690.5, 456590.5889987769
937128831000903680, 1, 25, 0, 1, 2662967.0, 106518.68, 106281.97312647899
927325603589652482, 0, 0, 35, 1, 5726669.0, 168431.4411764706, 182300.91630778575
625082617, 0, 0, 8, 1, 4236794.0, 605256.2857142857, 750604.0787726936
104726797, 0, 1, 2, 3, 1224625.0, 612312.5, 122117.5
956280983833243651, 0, 0, 8, 1, 1341918.0, 191702.57142857142, 122590.8579297787
135987565, 0, 0, 10, 1, 3017416.0, 335268.44444444444, 245339.85749301183
1012867160631316480, 0, 0, 5, 1, 3104855.0, 776213.75, 376556.6356833823
585302406, 0, 0, 5, 1, 1437480.0, 359370.0, 181181.49217980297
444989853, 0, 0, 6, 1, 2268212.0, 453642.4, 282390.2393041233
1031682203690983425, 0, 2, 2, 1, 165949.0, 55316.333333333336, 78193.75593713066
1573388737, 0, 0, 6, 1, 2210200.0, 442040.0, 282855.34479730093
982484360103321602, 0, 0, 5, 1, 4496197.0, 1124049.25, 1348778.525756615
1131676124, 0, 0, 3, 1, 2937837.0, 1468918.5, 503901.5
608781593, 0, 0, 13, 1, 5227324.0, 435610.3333333333, 345402.7397660431
756613628, 0, 0, 5, 1, 4230650.0, 1057662.5, 374130.13549064717
1041722943821307905, 0, 0, 3, 1, 103902.0, 51951.0, 26175.0
4023582809, 0, 0, 7, 1, 5508313.0, 918052.1666666666, 392345.8151152784
4881646132, 0, 0, 10, 1, 3956766.0, 439640.6666666667, 413509.0692013632
946635544838246400, 0, 0, 24, 1, 5753651.0, 250158.73913043478, 325782.4831084074
3932741, 0, 0, 4, 1, 863261.0, 287753.6666666667, 304467.5325332553
2411463242, 0, 0, 9, 1, 5077185.0, 634648.125, 910638.7680398355
28836440, 0, 0, 3, 1, 2656557.0, 1328278.5, 1091250.5
3398500955, 0, 0, 54, 1, 5643032.0, 106472.30188679245, 94574.27578156217
81527391, 0, 0, 56, 2, 4301808.0, 78214.6909090909, 110529.39885163793
33948256, 0, 0, 3, 1, 1580789.0, 790394.5, 649190.5
165937763, 0, 0, 14, 1, 5833041.0, 448695.46153846156, 400815.63891368685
812547946046771200, 0, 0, 3, 1, 1536595.0, 768297.5, 357927.5
459735663, 0, 0, 5, 1, 4232666.0, 1058166.5, 835818.9342628282
3385459323, 0, 0, 5, 1, 3676295.0, 919073.75, 476971.0013865492
2196243086, 0, 0, 21, 1, 4935483.0, 246774.15, 251883.46017280986
1024200599003222017, 0, 0, 31, 1, 4599267.0, 153308.9, 161544.83708521916
785846505164996608, 0, 0, 27, 1, 4812464.0, 185094.76923076922, 209642.2582401355
1017153026614874119, 0, 0, 5, 1, 3100419.0, 775104.75, 1178869.9186268125
14615214, 0, 0, 6, 2, 1211046.0, 242209.2, 173125.6659162933
300766667, 0, 0, 15, 1, 1210025.0, 86430.35714285714, 96323.56681193055
2999845574, 0, 0, 6, 1, 1453921.0, 290784.2, 191391.26393897922
4241162953, 0, 0, 23, 1, 1386929.0, 63042.22727272727, 119363.2604477654
23134931, 0, 0, 6, 1, 2547016.0, 509403.2, 493671.5549980169
1514406632, 0, 0, 8, 1, 3960063.0, 565723.2857142857, 356897.24294604716
716261549761961985, 0, 0, 3, 1, 2243529.0, 1121764.5, 343533.5
739131459865169924, 0, 0, 8, 1, 1290547.0, 184363.85714285713, 143011.33425354646
395641602, 0, 0, 27, 1, 5373394.0, 206669.0, 183965.10655911814
30606087, 0, 0, 79, 1, 4970447.0, 63723.679487179485, 144835.96044159163
2981167234, 0, 0, 54, 1, 5800480.0, 109443.01886792453, 237365.05414079764
1024732045379915781, 0, 0, 5, 1, 27.0, 6.75, 3.112474899497183
833014048505503744, 0, 0, 22, 1, 5500537.0, 261930.33333333334, 399203.7559816306
196805435, 0, 0, 14, 1, 3069842.0, 236141.6923076923, 220404.8552133043
354790197, 0, 0, 11, 1, 3752462.0, 375246.2, 412046.0946886404
2927231814, 0, 0, 3, 1, 1853465.0, 926732.5, 440885.5
2389902163, 0, 0, 98, 1, 5864245.0, 60456.134020618556, 126699.29633704218
2568574440, 0, 0, 4, 1, 4603073.0, 1534357.6666666667, 1218990.7174173049
196739992, 0, 4, 0, 1, 3958503.0, 1319501.0, 1135875.7422969586
1106707369, 0, 3, 0, 1, 597695.0, 298847.5, 115028.5
493749191, 0, 0, 3, 1, 3967268.0, 1983634.0, 1199020.0
22873033, 2, 3, 0, 1, 2958493.0, 739623.25, 779971.5623618515
851772372, 0, 0, 4, 1, 3322222.0, 1107407.3333333333, 888387.9864328548
2875568591, 0, 0, 3, 1, 30.0, 15.0, 9.0
555353060, 0, 0, 14, 1, 5258987.0, 404537.46153846156, 425618.06296646467
435422190, 0, 0, 7, 1, 4014108.0, 669018.0, 787187.334391249
57148403, 0, 0, 11, 1, 3556936.0, 355693.6, 475819.3226085296
1125712891, 0, 0, 8, 1, 3012929.0, 430418.4285714286, 899045.9318896825
2756641796, 0, 11, 4, 1, 2022830.0, 144487.85714285713, 201648.69390206365
1501955096, 0, 0, 3, 1, 3998120.0, 1999060.0, 1999033.0
1030220702622728192, 0, 5, 3, 1, 399464.0, 57066.28571428572, 58967.79208472146
372768946, 0, 0, 3, 1, 2339794.0, 1169897.0, 748723.0
813170891010019328, 0, 0, 3, 1, 4335508.0, 2167754.0, 2080584.0
4161143903, 0, 0, 7, 1, 58.0, 9.666666666666666, 8.41955396021006
95093874, 0, 0, 7, 1, 5047023.0, 841170.5, 675169.7958335493
895460596438581250, 0, 6, 0, 1, 4242239.0, 848447.8, 944120.165659944
321596268, 0, 0, 4, 1, 164551.0, 54850.333333333336, 76752.96344477883
222954650, 0, 0, 6, 1, 3194102.0, 638820.4, 548283.9942258392
988049522231267329, 0, 0, 7, 1, 4150051.0, 691675.1666666666, 989172.9226292062
144242101, 0, 0, 4, 1, 1319586.0, 439862.0, 182884.26960421354
191431885, 0, 0, 21, 1, 5305772.0, 265288.6, 514944.337595958
2971796687, 0, 0, 39, 2, 5745274.0, 151191.42105263157, 198281.88831568364
225838288, 0, 0, 3, 1, 2573818.0, 1286909.0, 426569.0
370083030, 0, 0, 13, 1, 226.0, 18.833333333333332, 24.889198906799358
577492521, 0, 0, 13, 1, 5071837.0, 422653.0833333333, 452140.31555360084
282723581, 0, 0, 5, 1, 3793704.0, 948426.0, 888126.5837325781
1202521350, 0, 0, 3, 1, 959162.0, 479581.0, 37175.0
3312846116, 0, 4, 0, 1, 331975.0, 110658.33333333333, 103988.7888519185
425395497, 0, 2, 1, 1, 5561105.0, 2780552.5, 1638726.5
2983920985, 0, 0, 35, 1, 5664004.0, 166588.35294117648, 238264.69455182704
59049319, 0, 0, 4, 1, 2427171.0, 809057.0, 280653.5733925367
949921127568113669, 1, 1, 1, 1, 545345.0, 272672.5, 170569.5
948593807364419584, 0, 0, 3, 1, 2025726.0, 1012863.0, 246053.0
928735908936941568, 0, 0, 129, 1, 4182475.0, 32675.5859375, 51679.54040761793
997131684, 0, 7, 0, 1, 1033330.0, 172221.66666666666, 181716.59084837456
467027724, 0, 0, 7, 1, 1858512.0, 309752.0, 251452.25182460918
389416389, 0, 0, 11, 1, 3067854.0, 306785.4, 274611.2280764208
2803041742, 0, 0, 6, 1, 4878460.0, 975692.0, 918587.0736819673
767753509492105216, 0, 0, 6, 1, 5237888.0, 1047577.6, 1508909.1075711087
1580467730, 0, 0, 3, 1, 2444986.0, 1222493.0, 859363.0
2805401111, 0, 0, 20, 1, 5128489.0, 269920.4736842105, 357217.0297719461
337446427, 0, 0, 6, 1, 5087141.0, 1017428.2, 738693.6603218955
103089715, 0, 0, 7, 1, 3574322.0, 595720.3333333334, 693085.4241115513
